Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Card image,Listing type,Wide image,Class,Boat name,From,Length,Max. capacity,Year,Featured
Azimut 40 feet,azimut-40-feet,616e97a6a0e7ed255e21759f,628d015864252e38133d1053,Tue May 24 2022 16:01:28 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:34 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:34 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2f26adf3838617e6a5ca_lllk61fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,Azimut 40 feet,El Gouna ,40FT,10,,7
Chapparel 215,chapparel-215,616e97a6a0e7ed255e21759f,628d02fc2d83af3fca40cdd3,Tue May 24 2022 16:08:28 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:52:30 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:52:30 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2e11fddf44cb69dc5e49_37_1.jpg,Golden Class,,Golden Class,Chapparel 215,El Gouna ,25FT,6,,11
Chapparel 27 feet,chapparel-27-feet,616e97a6a0e7ed255e21759f,628cc3520f43404413a28bc2,Tue May 24 2022 11:36:50 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:16 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:16 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d24c18be7b4098905c83b_ll61fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,Chapparel 27 feet ,El Gouna ,27,8,,5
Classic Speedy,classic-speedy,616e97a6a0e7ed255e21759f,628d03dab452de00bf814260,Tue May 24 2022 16:12:10 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:53 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:53 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d24569baadd38d074bb04_oooo61fce217ef6fd9602353fe37_1.jpg,Silver Class,,Silver Class,Classic Speedy ,El Gouna ,24FT ,7,,16
Crowline 190,crowline-190,616e97a6a0e7ed255e21759f,628d02ade6773ec1fc34bc52,Tue May 24 2022 16:07:09 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:37 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:37 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2d8087fcc8c674e4567c_lplpkkkk61fce217ef6fd9602353fe37_1.jpg,Silver Class,,Silver Class,Crowline 190,El Gouna ,,6,,13
Fairline 44 feet with Flybridge,fairline-44-feet,616e97a6a0e7ed255e21759f,628cc351911a3933dac91c7f,Tue May 24 2022 11:36:49 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:26 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 20:13:26 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2fb44a6fd33ef4487494_6fd9602353fe37_1.jpg,Diamond Class,https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628cc2aedc088039cd8fcac2_1653392045934-image2.jpg,Diamond Class,Fairline 44 feet with Flybridge,10,44 FT ,10,,6
Fairline 50 feet with flybridge ,fairline-50-feet,616e97a6a0e7ed255e21759f,628d01271b8526e4a3fce84c,Tue May 24 2022 16:00:39 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 21:05:37 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 21:05:37 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d3250adf383d006e6c21a_smsm61fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,Madame Jean ,El Gouna ,50FT ,10,,2
Fourwinns 27 feet,fourwinns-27-feet,616e97a6a0e7ed255e21759f,628d024ed1995d39493300a7,Tue May 24 2022 16:05:34 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:16 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:16 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d23fc943e5c41b8afd8fe_ytt61fce217ef6fd9602353fe37_1.jpg,Silver Class,,Silver Class,Fourwinns 27 feet,El Gouna ,27FT,9,,12
Harris 230,harris-230,616e97a6a0e7ed255e21759f,628d02d393efe2de5c6ce1d3,Tue May 24 2022 16:07:47 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:52:07 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:52:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2d9e099dc535c8d5a847_sf61fce217ef6fd9602353fe37_1.jpg,Golden Class,,Golden Class,Harris 230,El Gouna ,,10,,10
Jannah,jannah,616e97a6a0e7ed255e21759f,628d3d1cbe6829be5083f5ff,Tue May 24 2022 20:16:28 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:49:57 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:49:57 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d3cfd1ab594a822488924_61fce54dea6ac85c02a41679_2426-p-500.jpg,Golden Class,,Golden Class,Jannah,El Gouna ,,10,,9
Nadia,nadia,616e97a6a0e7ed255e21759f,628d038087fcc8efb3e2fed3,Tue May 24 2022 16:10:40 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:49:45 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:49:45 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2fdb68453468e1a5dd91_pppp61fce217ef6fd9602353fe37_1.jpg,Golden Class,,Golden Class,Nadia,El Gouna ,29FT,8,,8
Princess 62 feet with Flybridge,princess-62-feet-with-flybridge,616e97a6a0e7ed255e21759f,628cff9cebfd2c36197e0699,Tue May 24 2022 15:54:04 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:37:13 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:37:41 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2491ebfd2c16107f08a5_k61fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,Princess 62 feet with Flybridge,El Gouna ,62 FT ,10,,3
Sea Ray 230,sea-ray-230,616e97a6a0e7ed255e21759f,628d035633a906e7495db418,Tue May 24 2022 16:09:58 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:47 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:47 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d24f3d1e97a0a69c9a00e_scfg61fce217ef6fd9602353fe37_1.jpg,Silver Class,,Golden Class,Sea Ray 230,El Gouna ,30FT,10 ,,15
Shore Thing,shore-thing,616e97a6a0e7ed255e21759f,628d03a8f676351e83a15802,Tue May 24 2022 16:11:20 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:26 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 11:53:26 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d2ca48be7b4167d061060_kmkmkmkkkkk61fce217ef6fd9602353fe37_1.jpg,Silver Class,,Silver Class,Shore Thing,El Gouna ,25FT,8,,14
Sunseeker 50 feet with Flybridge,sunseeker-50-feet,616e97a6a0e7ed255e21759f,628cc931281a8d49cad837e6,Tue May 24 2022 12:01:53 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:37:36 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:37:41 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d24a629547765b0ee6660_fdlfd61fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,Sunseeker 50 feet with Flybridge,El Gouna,50 FT ,10,,4
The Classic One ,the-classic-one,616e97a6a0e7ed255e21759f,628d01dd4436c3063a00d5f1,Tue May 24 2022 16:03:41 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:36:47 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 19:37:41 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628d254e87400958220d6bbc_555561fce217ef6fd9602353fe37_1.jpg,Diamond Class,,Diamond Class,The Classic One ,El Gouna ,100FT,11,,1
